match_id,game,date,tournament,series,team1_id,team1_name,team2_id,team2_name,winner_id,label,n_games
1398978,cs-go,2026-03-22 19:52:40+00:00,Group Stage,Series #19 season 3 2026,128629,megoshort,134251,Rebels Gaming,134251,0,3
1398074,cs-go,2026-03-22 20:37:25+00:00,Playoffs,Europe Cup #2 season 51 2026,137948,TDK,125774,HAVU,137948,1,3
1406912,cs-go,2026-03-22 20:58:37+00:00,Playoffs,Contenders #3 2026,137660,eLITenergy,135474,Fire Flux Esports,135474,0,3
1394918,cs-go,2026-03-22 21:02:55+00:00,Playoffs,Series #10 season 3 2026,128378,Procyon Gaming,135580,Game Hunters,135580,0,3
1404826,cs-go,2026-03-22 21:14:39+00:00,Group A,Closed Qualifier season 1 2026,135913,Diamant Esports,138307,FIGHTERS,135913,1,3
1406906,cs-go,2026-03-22 21:19:12+00:00,Playoffs,Contenders #3 2026,134405,Vexar,135981,Donstu Esports,134405,1,3
1413278,cs-go,2026-03-22 22:00:00+00:00,Playoffs,Astana: South American Open Qualifier #1 2026,137141,Crashers,3225,Keyd,3225,0,3
1413279,cs-go,2026-03-22 22:00:00+00:00,Playoffs,Astana: South American Open Qualifier #1 2026,125863,Isurus,138086,METANOIA WOLVES,125863,1,3
1410078,cs-go,2026-03-22 22:10:37+00:00,Group D,March 2026,129800,MIBR Academy,131848,largadosypelados,131848,0,3
1394946,cs-go,2026-03-22 22:12:12+00:00,Group B,Rotterdam Spring 2026,124523,Spirit,126709,9z,124523,1,3
1397676,cs-go,2026-03-22 23:20:37+00:00,Playoffs,South America Cup #2 season 51 2026,137966,Guara Esports,133906,Atrix Esports,137966,1,3
1397679,cs-go,2026-03-23 00:34:15+00:00,Playoffs,South America Cup #2 season 51 2026,137468,Vexa,135580,Game Hunters,135580,0,3
1394919,cs-go,2026-03-23 00:44:38+00:00,Playoffs,Series #10 season 3 2026,136029,Fake do Biru,137143,R2 Esports Club,136029,1,3
1397677,cs-go,2026-03-23 01:51:13+00:00,Playoffs,South America Cup #2 season 51 2026,130605,UNO MILLE,128378,Procyon Gaming,130605,1,3
1397977,cs-go,2026-03-23 04:17:45+00:00,Playoffs,North America Cup #2 season 51 2026,134773,F5 Esports,128002,OverKnight,134773,1,3
1397976,cs-go,2026-03-23 04:33:49+00:00,Playoffs,North America Cup #2 season 51 2026,132891,Zomblers,134333,Wanted Goons,134333,0,3
1397979,cs-go,2026-03-23 05:19:51+00:00,Playoffs,North America Cup #2 season 51 2026,137576,Sakura Esports,137350,Reign Above,137350,0,3
1402000,cs-go,2026-03-23 08:43:05+00:00,Group A,Open #3 2026,3318,3DMAX,138098,FOKUS REALITY,3318,1,1
